name,latitude,longitude,elevation
ACTIVE PASS,48.87,-123.28,4
ALBERT HEAD,48.4,-123.48,17
BAMBERTON OCEAN CEMENT,48.58,-123.52,85.3
BEAR CREEK,48.5,-124,350.5
BEAVER LAKE,48.5,-123.35,61
BECHER BAY,48.33,-123.63,12.2
BRENTWOOD BAY 2,48.6,-123.47,38
BRENTWOOD CLARKE ROAD,48.57,-123.45,30.5
BRENTWOOD W SAANICH RD,48.57,-123.43,91.4
CENTRAL SAANICH VEYANESS,48.58,-123.42,53.3
CENTRAL SAANICH ISL VIEW,48.57,-123.39,38
CENTRAL SAANICH TANNER,48.55,-123.4,88.4
CHEMAINUS,48.94,-123.74,75
COBBLE HILL,48.68,-123.6,99
COBBLE HILL DELOUME ROAD,48.65,-123.57,61
COLE BAY,48.65,-123.4,36.6
COLWOOD HATLEY DR,48.42,-123.48,75.6
COPPER CANYON,48.83,-123.83,176.8
CORDOVA BAY,48.53,-123.37,37.2
CORDOVA BAY SOUTH,48.52,-123.37,26
COWICHAN,48.42,-123.7,51.8
COWICHAN BAY CHERRY POINT,48.71,-123.56,1
COWICHAN BAY SOUTHEAST,48.73,-123.6,94
COWICHAN LAKE FORESTRY,48.82,-124.13,176.8
COWICHAN LAKE HATCHERY,48.83,-124.12,152.4
COWICHAN LAKE NITINAT,48.93,-124.48,189
LAKE COWICHAN,48.83,-124.05,171
CROFTON,48.82,-123.67,30.5
DISCOVERY ISLAND,48.42,-123.23,18.93
DUNCAN,48.78,-123.72,8.5
DUNCAN BCHPA VIT,48.83,-123.72,36
DUNCAN EAST,48.78,-123.68,7.6
DUNCAN FORESTRY,48.77,-123.68,6
DUNCAN KELVIN CREEK,48.73,-123.73,103
EAST SOOKE ANDERSON COVE,48.35,-123.63,36.6
ELK LAKE,48.52,-123.38,114.3
ELK LAKE 2,48.53,-123.38,53
ESQUIMALT,48.43,-123.42,13.7
ESQUIMALT LAGOON,48.42,-123.47,15.2
ESQUIMALT HARBOUR,48.43,-123.44,3
FINLAYSON ARM RD,48.5,-123.53,167.6
GALIANO ISLAND GCC,48.9,-123.35,15.2
GANGES MANSELL RD,48.87,-123.5,45
