COLLISION_ID,LOCATION,X,Y,LONGITUDE,LATITUDE,DATE,TIME,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,TRAFFIC_CONTROL_CONDITION,COLLISION_CLASSIFICATION,IMPACT_TYPE,NO_OF_PEDESTRIANS
17-1,WEST RIDGE DR btwn PARLOR PL & BERT G. ARGUE DR,349455.38202,5012881.62497,-75.93106317810,45.25447687070,2017-01-01,1:28:00 AM,02 - Rain,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,07 - SMV other,0
17-2,VANIER PKWY SB btwn VANIER PKWY & DONALD ST,370277.06441,5032383.84506,-75.66322500400,45.42832313040,2017-01-01,3:16:00 AM,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-3,RICHMOND RD @ ROBERTSON RD,357578.72605,5020750.81979,-75.82673620930,45.32472262030,2017-01-01,7:17:00 AM,05 - Drifting Snow,03 - Dawn,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,07 - SMV other,0
17-4,MERIVALE RD @ WOODFIELD DR/ROYDON PL,365462.70110,5022298.49890,-75.72598443070,45.33801138130,2017-01-01,8:58:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-5,BANK ST @ KILBORN AVE/BELANGER AVE,369654.38008,5027426.29469,-75.67183395010,45.38377488590,2017-01-01,11:41:00 AM,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,00 - Unknown,03 - P.D. only,99 - Other,0
17-6,POULIN AVE @ RICHMOND RD,360324.64689,5024899.06366,-75.79124530170,45.36183665590,2017-01-01,12:08:00 PM,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,03 - Rear end,0
17-7,EASTVALE DR btwn OGILVIE RD & LOYOLA AVE,375627.40550,5035090.28325,-75.59446822560,45.45215271460,2017-01-01,12:00:00 AM,03 - Snow,00 - Unknown,04 - Slush,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-8,WEST HUNT CLUB RD EB btwn CEDARVIEW RD & GREENBANK RD,361046.58805,5020239.24822,-75.78256043580,45.31985017740,2017-01-01,8:26:00 PM,01 - Clear,07 - Dark,02 - Wet,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-9,QUEEN MARY ST @ QUILL ST,370735.22707,5031999.13233,-75.65742197440,45.42481860610,2017-01-01,8:43:00 PM,01 - Clear,07 - Dark,03 - Loose snow,02 - Stop sign,01 - Functioning,03 - P.D. only,07 - SMV other,0
17-10,ERINDALE DR @ BASELINE RD,363856.83373,5024574.66413,-75.74620061310,45.35862908640,2017-01-01,9:40:00 PM,01 - Clear,07 - Dark,02 - Wet,02 - Stop sign,01 - Functioning,03 - P.D. only,07 - SMV other,0
17-11,ST. LAURENT BLVD/DUNBARTON CRT @ BRITTANY DR,371331.35185,5034337.30937,-75.64948902230,45.44580001490,2017-01-02,1:01:00 AM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,07 - SMV other,0
17-12,BANK ST btwn COUNCILLOR'S WAY & ST. BERNARD ST,372911.08095,5023788.89966,-75.63075324780,45.35073795080,2017-01-02,8:11:00 AM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,02 - Angle,0
17-13,CRAWFORD SIDE RD btwn DWYER HILL RD & ONDROVIC GT,342481.96975,5006333.83590,-76.02040099180,45.19596424790,2017-01-02,9:12:00 AM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,07 - SMV other,0
17-14,FALLOWFIELD RD @ SHEA RD,354013.37553,5011020.14933,-75.87317913440,45.23742273030,2017-01-02,9:16:00 AM,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,02 - Non-fatal injury,02 - Angle,0
17-15,CHAPEL ST btwn OSGOODE ST & SOMERSET ST E,369247.58393,5032053.67716,-75.67642324560,45.42544802380,2017-01-02,9:47:00 AM,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-16,ALBION RD @ RIDEAU RD,375085.30296,5016667.34584,-75.60401928650,45.28644639230,2017-01-02,10:29:00 AM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
17-17,TRAINYARDS DR btwn INDUSTRIAL AVE & Continuation of TRAINYARDS DR,371701.40574,5030636.47461,-75.64526168690,45.41246627190,2017-01-02,10:35:00 AM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-18,CARP RD @ HAZELDEAN RD,348802.00079,5014362.15294,-75.93925612160,45.26784038810,2017-01-02,10:53:00 AM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-19,NOEL ST @ TAYLOR LANE,368859.05510,5033756.42627,-75.68116621140,45.44080440360,2017-01-02,12:20:00 PM,01 - Clear,01 - Daylight,05 - Packed snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-20,NEPEAN ST btwn LYON ST N & KENT ST,367293.43164,5030968.07625,-75.70153061440,45.41585744590,2017-01-02,1:07:00 PM,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,02 - Non-fatal injury,07 - SMV other,1
17-21,INNES RD @ ORLEANS BLVD,380461.65347,5034297.26137,-75.53279267370,45.44451105170,2017-01-02,1:43:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
